DDI_CODEX,DDI_DES,DDI_SL,DDI_MONOX,DDI_PGEDI,DDI_TREE,DDI_MFGI,DDI_TRIALI,DDI_CASEI,DDI_ABSI,DDI_IVASI,DDI_REVI
27991,MITAPIVAT/SELECTED CYP3A4 SUBSTRATES,2,4009,18/901.00,0,1,0,0,0,0,1
1495,"GENTAMICIN, AMIKACIN, TOBRAMYCIN/AMPHOTERICIN",3,1495,18/903.00,0,1,0,0,0,0,1
2226,TENOFOVIR/TELAPREVIR,3,2226,18/902.00,0,1,0,0,0,0,0
29676,VORICONAZOLE/ATORVASTATIN; FLUVASTATIN,3,2324,18/901.00,0,1,0,0,0,0,0
28236,PHENYTOIN/EFAVIRENZ,2,3764,18/903.00,0,1,0,1,0,0,1
27199,PACRITINIB/ROSUVASTATIN (<= 20 MG),3,4801,18/902.00,0,1,0,0,0,1,0
28057,LEVOKETOCONAZOLE/DOFETILIDE,1,3943,18/901.00,0,1,0,0,0,0,1
30587,SELECTED MAOIS/SELECTED ANTIHISTAMINES,1,1413,18/901.00,0,1,1,1,0,1,0
30520,MAOIS/FENTANYL,1,1480,01/017.00,0,1,0,1,0,0,1
2351,POMALIDOMIDE/SELECTED CYP1A2 OR CYP3A4 INDUCERS (DELETED),2,2351,18/902.00,0,1,1,0,0,0,0
