GCN_SEQNO,HIC3,HICL_SEQNO,GCDF,GCRT,STR,GTC,TC,DCC,GCNSEQ_GI,GENDER,HIC3_SEQN,STR60
67588,B1C,7323,HS,A,1.5 MG,41,71,0,1,0,9515,1.5 mg
44689,H0A,25218,HV,2,2.5 MG/ML,5,45,0,2,0,250,2.5 mg/mL
71189,H3W,24846,TU,S,1.4-0.36MG,99,99,0,2,0,7689,1.4 mg-0.36 mg
3033,D6S,1333,TP,1,,65,6,L,2,0,232,
16850,A9A,182,CT,1,240 MG,38,76,0,1,0,156,240 mg
77204,Q5B,4259,AU,5,0.12 %,86,38,0,2,0,379,0.12 %
87316,B4E,393,SL,1,2-10MG/10,50,17,0,1,0,8487,2 mg-10 mg/10 mL
3183,F1A,1413,HQ,C,50 MG/ML,68,59,0,2,0,242,50 mg/mL
12076,Q6G,3459,SO,6,0.25 %,62,20,0,1,0,395,0.25 %
22678,W7M,9656,HQ,C,25MCG/0.5,92,90,0,2,0,518,25 mcg/0.5 mL
