HICL_SEQNO,GNN,GNN60
230,ammonium chloride/guaifenesin,ammonium chloride/guaifenesin
2811,dicumarol,dicumarol
26139,phenolsulfonic acid,phenolsulfonic acid
43710,"desonide, micronized","desonide, micronized"
11735,oxcarbazepine,oxcarbazepine
932,dextrose 2.5 % and 0.45 % NaCl,dextrose 2.5 % and 0.45 % sodium chloride
35016,prenatal vit 17/iron cb/FA/dss,"prenatal vitamin no.17/iron,carbonyl/folic acid/docusate sod"
1955,dronabinol,dronabinol
26482,pomegran sd/pomegran fruit xt,pomegranate seed/pomegranate fruit extract
237,guaifen/ephed/chlorphenir/Hi,guaifenesin/ephedrine/chlorpheniramine/hydriodic acid
