EVD_RXN_RXCUI,EVD_EXT_VOCAB_TYPE_ID,IMK_FDB_VOCAB_NO_ID,EVD_FDB_VOCAB_TYPE_ID,EVD_RXN_RXCUI_DESC,EVD_RXN_RXCUI_STATUS_CD,IMK_FDB_VOCAB_DESC,IMK_FDB_VOCAB_STATUS_CD,IMK_PREFERRED_IND,IMK_PARTIAL_IND,LINK_ADD_DATE,LINK_INACTIVE_DATE
372905,507,2958,104,Metronidazole / Nystatin Vaginal Tablet,2,metronidazole,0,0,0,2013-01-17,2019-02-07
2177692,501,12627141,5,0.5 ML influenza A virus A/Brisbane/02/2018 (H1N1) antigen 0.12 MG/ML / influenza A virus A/Kansas/14/2017 (H3N2) antigen 0.12 MG/ML / influenza B virus B/Maryland/15/2016 antigen 0.12 MG/ML Prefilled Syringe,0,INFLUENZA VIRUS VACCINE QVALSPLIT 2017-2018(6 MOS AND UP)/PF INTRAMUSCULAR,0,0,0,2019-07-11,
1094218,502,1061801,5,Nu-Med 12.5 MG per 5 ML Elixir,0,DIPHENHYDRAMINE CITRATE ORAL,0,0,0,2013-01-17,
1044435,501,5245488,5,menthol 85 MG/ML Topical Lotion,0,MENTHOL TOPICAL,0,0,0,2013-01-17,
2563043,502,12631733,5,influenza A virus A/Tasmania/503/2020 (H3N2) antigen 0.09 MG/ML / influenza A virus A/Wisconsin/588/2019 (H1N1) antigen 0.09 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.09 MG/ML / influenza B virus B/Washington/02/2019 antigen 0.09 MG/ML Prefil,0,INFLUENZA VIRUS VACCINE QUADRIVALENT 2023-24 (6 MOS AND UP) INTRAMUSCULAR,0,0,0,2023-08-10,
2686943,511,12630931,5,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [Flulaval 2024-2025],0,INFLUENZA VIRUS VACCINE QUADRIVALENT 2022-23 (36 MOS UP)/PF INTRAMUSCULAR,0,0,0,2024-07-11,
1102256,511,5245488,5,menthol Topical Cream [Myorx],0,MENTHOL TOPICAL,0,0,0,2013-01-17,
1666302,507,10527800,5,factor IX Injection,0,"FACTOR IX HUMAN RECOMBINANT, THREONINE 148 INTRAVENOUS",0,0,0,2015-10-08,
238233,501,5078,6,mephentermine 15 MG/ML Injectable Solution,0,mephentermine sulfate 15 mg/mL Injection Ampul,0,1,0,2013-01-17,
992874,502,1483,104,Phenazine 50 MG/ML Injectable Solution,2,promethazine HCl,0,0,0,2013-01-17,2016-01-07
