ROUTED_DOSAGE_FORM_MED_ID,ROUTED_MED_ID,MED_DOSAGE_FORM_ID,MED_ROUTED_DF_MED_ID_DESC,MED_STATUS_CD
64324,57253,81,Pdm tablet,3
504160,187234,81,Niva Thyroid tablet,0
756,729,220,Solarcaine topical spray,0
108623,91487,81,trospium tablet,0
288626,163629,48,ascorbic acid (vitamin C) pop,3
170086,149922,9,Pseudacarb chewable tablet,3
107149,90111,43,Infection Control Kit,3
94416,78170,235,BD Yale Reusable Glass Luer-Lok Tip syringe,3
466458,180374,47,Cepacol Instamax Sore Throat lozenges,3
84938,74990,50,Techlite Blood Lancet,1
