PEDI_CODE,PEDI_DESC,PEDI_SL,PEDI_MINAG,PEDI_MAXAG,PEDI_NARRATIVE
2165,Estramustine,2,1,6569,Safety and efficacy not established; use not recommended.
3406,Estradiol with Progesterone,2,1,6569,Not indicated in pediatrics; safety and efficacy not established.
2293,Nystatin (Vaginal),3,1,4379,No data available for pediatrics.
2801,Galcanezumab-gnlm,3,1,6569,No pediatric safety and efficacy established.
489,Oxyphencyclimine Hydrochloride,2,1,2189,Young children are more sensitive to effects of anticholinergics.
1418,Lomustine,2,1,6569,"Risk of long term toxicity of pulmonary infiltrates or fibrosis. Limited safety data available,"
3375,Tixagevimab-Cilgavimab,3,4380,6569,Not authorized for patients weighing < 40 kg; safety and effectiveness not established.
2596,Sevoflurane,2,1,1094,Long-term risk of cognitive deficit if procedural use exceeds 3 hours. Rare risk of arrhythmia with hyperkalemia post-op. Use extreme caution in patient at risk for seizure. Bradycardia reported with Down syndrome.
182,Cyclizine,1,1,29,Possible CNS excitation and seizure risk in newborns.
3808,Vimseltinib,3,1,6569,Safety and efficacy not established in pediatric patients.
