PEC,DGNAME,LBLMSG1,LBLMSG2,PEMONO,AMACDE,PHMXCDE,USPCDE,NARDCDE,ASHPCDE3,PEMONOS,PEMONOFRA
502507,DIFENOXIN/ATROPINE - ORAL,CAREFULLY READ THIS DRUG'S,PATIENT EDUCATION LEAFLET,5025,000,000,0000,000,0,5025,5025
243300,SMALLPOX/MONKEYPOX VACCINE-INJ,CAREFULLY READ THIS DRUG'S,PATIENT EDUCATION LEAFLET,2433,000,000,0000,000,0,2433,2433
97500,PROGESTERONE SUPP-VAGINAL,CAREFULLY READ THIS DRUG'S,PATIENT EDUCATION LEAFLET,975,000,000,0000,000,0,975,975
701005,VERAPAMIL-EXTENDED RELEASE,CAREFULLY READ THIS DRUG'S,PATIENT EDUCATION LEAFLET,7010,000,000,0000,000,0,7010,7010
115300,RIVAROXABAN - ORAL,CAREFULLY READ THIS DRUG'S,PATIENT EDUCATION LEAFLET,1153,000,000,0000,000,0,1153,1153
115800,ELTROMBOPAG - ORAL,CAREFULLY READ THIS DRUG'S,PATIENT EDUCATION LEAFLET,1158,000,000,0000,000,0,1158,1158
169400,DEFERASIROX - ORAL,CAREFULLY READ THIS DRUG'S,PATIENT EDUCATION LEAFLET,1694,000,000,0000,000,0,1694,1694
216100,CYCLOSPORINE 0.1% - OPHTHALMIC,CAREFULLY READ THIS DRUG'S,PATIENT EDUCATION LEAFLET,2161,000,000,0000,000,0,2161,2161
831202,GARLIC - ORAL,CAREFULLY READ THIS DRUG'S,PATIENT EDUCATION LEAFLET,8312,000,000,0000,000,0,8312,8312
262900,REVUMENIB - ORAL,CAREFULLY READ THIS DRUG'S,PATIENT EDUCATION LEAFLET,2629,000,000,0000,000,0,2629,2629
