PEMONO,PEMONOE_SN,PEMTXTEI,PEMTXTE,PEMGNDR,PEMAGE
9067,60,S,have serious side effects.,,
1242,11,F,(KAN-a-KIN-ue-mab),,
459,169,I,"cyclobenzaprine), or antihistamines (such as cetirizine,",,
864,120,S,selecting a laxative (such as a stimulant type with stool,,
1448,27,W,at higher risk for this effect.,,
1455,74,P,products; or if you have any other allergies. This product may,,
1912,100,S,breathing.,,
853,110,S,   Tell your doctor right away if you have any serious side,,
882,92,S,"result in decreased sexual ability, inability to produce sperm,",,
185,45,H,"other drops or ointments), wait at least 5 to 10 minutes before",,
