POETEXTCDE,POELANGCDE,POECOCDE,POETXTNUM,POETXLINE
1000010365,1,1,1,with food
1000017490,1,1,1,after meals and at bedtime
1000026048,1,1,1,into right ear
30850,1,1,2,2 doses
25060,1,1,1,take 1 tablet (200 mg) by oral route 3 times per day swallowing whole.
31115,1,1,2,ch 60 minutes before breakfast
3000027815,1,1,1,following re-epithelialization for an additional 7 days
1000029303,1,1,1,(0.1 mL in each nostril)
1000029174,1,1,1,once every 24 weeks
1000023560,1,1,1,for no more than 48 hours
